Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Jane,2019-04-13 17:16:55,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,The Perfect Date,GMAIL.COM,,,,0
Jane,2019-04-12 12:33:02,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Black Summer,GMAIL.COM,,,,0
Jane,2019-04-12 12:33:02,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Black Summer,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-12 00:20:38,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Black Summer,GMAIL.COM,,,,0
Jane,2019-04-11 11:46:33,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,The Silence,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-11 11:46:32,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,The Silence,GMAIL.COM,,,,0
Jane,2019-04-11 01:17:03,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,The Silence,GMAIL.COM,,,,0
Jane,2019-04-02 12:53:20,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,The Silence,GMAIL.COM,,,,0
Jane,2019-04-02 12:53:20,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,The Silence,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-04-02 12:53:16,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,The Silence,GMAIL.COM,,,,0
Jane,2019-03-30 19:55:33,NEW_DEVICE_LOGIN,EMAIL,GB,en-GB,en-GB,,GMAIL.COM,,,,0
Jane,2019-03-30 12:21:01,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,The Highwaymen,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-30 12:14:43,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,The Highwaymen,GMAIL.COM,,,,0
Jane,2019-03-29 23:30:16,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,The Highwaymen,GMAIL.COM,,,,0
Jane,2019-03-22 13:39:03,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-22 13:39:02,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,,0
Jane,2019-03-22 09:21:15,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,,0
Jane,2019-03-21 12:38:07,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,The Highwaymen,GMAIL.COM,,,,0
Jane,2019-03-21 12:38:07,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,The Highwaymen,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-21 12:24:08,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,The Highwaymen,GMAIL.COM,,,,0
Jane,2019-03-14 12:26:00,PUSH_ORIGINALS_PREPROMOTE,PUSH,GB,en-GB,en-GB,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-14 12:15:05,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,GB,,,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,,0
Jane,2019-03-14 11:40:08,EMAIL_ORIGINALS_PREPROMOTE,EMAIL,GB,en-GB,en-GB,ReMastered: The Miami Showband Massacre,GMAIL.COM,,,,0
Jane,2019-03-10 13:17:07,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,On Chesil Beach,GMAIL.COM,,,,0
Jane,2019-03-10 13:17:07,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,On Chesil Beach,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-10 13:17:03,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,On Chesil Beach,GMAIL.COM,,,,0
Jane,2019-03-09 13:13:00,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Formula 1: Drive to Survive,GMAIL.COM,,,,0
Jane,2019-03-09 13:13:00,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Formula 1: Drive to Survive,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-09 05:06:16,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Formula 1: Drive to Survive,GMAIL.COM,,,,0
Jane,2019-03-01 13:38:10,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Losers,GMAIL.COM,,,,0
Jane,2019-03-01 13:38:10,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Losers,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-01 13:38:07,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Losers,GMAIL.COM,,,,0
Jane,2019-03-01 12:48:26,PUSH_NEW_EPISODE_ALERT,PUSH,GB,en-GB,en-GB,Star Trek: Discovery,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-01 12:37:37,PUSH_NEW_ARRIVALS,PUSH,GB,en-GB,en-GB,Isn't It Romantic,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-03-01 12:36:37,INAPP_NEW_EPISODE_ALERT,NOTIFICATIONS,GB,,,Star Trek: Discovery,GMAIL.COM,,,,0
Jane,2019-03-01 12:19:08,INAPP_NEW_ARRIVALS,NOTIFICATIONS,GB,,,Isn't It Romantic,GMAIL.COM,,,,0
Jane,2019-02-28 20:25:38,EMAIL_NEW_ARRIVALS,EMAIL,GB,en-GB,en-GB,Isn't It Romantic,GMAIL.COM,,,,0
Jane,2019-02-22 12:41:30,PUSH_NEW_SEASON_ALERT,PUSH,GB,en-GB,en-GB,Chef's Table,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-22 12:41:17,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,GB,,,Chef's Table,GMAIL.COM,,,,0
Jane,2019-02-22 11:28:13,EMAIL_NEW_SEASON_ALERT,EMAIL,GB,en-GB,en-GB,Chef's Table,GMAIL.COM,,,,0
Jane,2019-02-21 16:54:43,EMAIL_WHAT_TO_WATCH_MOVIE_NIGHT,EMAIL,GB,en-GB,en-GB,Louis Theroux: Dark States - Murder in Milwaukee,GMAIL.COM,,,,0
Jane,2019-02-21 16:54:43,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,GB,en-GB,en-GB,Louis Theroux: Dark States - Murder in Milwaukee,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-21 16:54:42,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,GB,,,Louis Theroux: Dark States - Murder in Milwaukee,GMAIL.COM,,,,0
Jane,2019-02-17 17:45:30,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,GB,en-GB,en-GB,Dumplin',GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-17 17:45:30,EMAIL_WHAT_TO_WATCH_SUGGESTIONS,EMAIL,GB,en-GB,en-GB,Dumplin',GMAIL.COM,,,,0
Jane,2019-02-17 17:45:29,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,GB,,,Dumplin',GMAIL.COM,,,,0
Jane,2019-02-15 13:54:22,PUSH_NEW_EPISODE_ALERT,PUSH,GB,en-GB,en-GB,Star Trek: Discovery,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-15 13:27:48,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,GB,en-GB,en-GB,High Flying Bird,GMAIL.COM,,,APPLE_iPad4-1,0
Jane,2019-02-15 13:24:02,INAPP_NEW_EPISODE_ALERT,NOTIFICATIONS,GB,,,Star Trek: Discovery,GMAIL.COM,,,,0
Jane,2019-02-15 12:28:55,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,GB,,,High Flying Bird,GMAIL.COM,,,,0
Jane,2019-02-15 02:56:17,EMAIL_WHAT_TO_WATCH_SUGGESTIONS,EMAIL,GB,en-GB,en-GB,High Flying Bird,GMAIL.COM,,,,0
Jane,2019-02-14 04:25:36,ADD_PHONE_NUMBER_UMA,ALERTS,GB,,,,GMAIL.COM,,,,0
Jane,2019-02-12 12:34:25,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,GB,en-GB,en-GB,ReMastered: The Two Killings of Sam Cooke,GMAIL.COM,,,APPLE_iPad4-1,0
