Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2018-08-12,2018-08-12,2018-09-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-09-12
2018-07-12,2018-07-12,2018-08-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-08-12
2018-07-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-07-12,2018-07-12,2018-08-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-08-12
2018-07-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-06-12,2018-06-12,2018-07-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-07-12
2018-06-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-06-12,2018-06-12,2018-07-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-07-12
2018-06-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-05-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-05-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-05-12,2018-05-12,2018-06-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-06-12
2018-05-12,2018-05-12,2018-06-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-06-12
2018-04-12,2018-04-12,2018-05-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-05-12
2018-04-12,2018-04-12,2018-05-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-05-12
2018-04-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-04-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-03-12,2018-03-12,2018-04-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-04-12
2018-03-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-03-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-03-12,2018-03-12,2018-04-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-04-12
2018-02-12,2018-02-12,2018-03-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-03-12
2018-02-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-02-12,2018-02-12,2018-03-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-03-12
2018-02-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2018-01-12,2018-01-12,2018-02-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-02-12
2018-01-12,2018-01-12,2018-02-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-02-12
2018-01-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2018-01-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
2017-12-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,APPROVED,,GB,
2017-12-12,2017-12-12,2018-01-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,APPROVED,SETTLED,GB,2018-01-12
2017-12-12,2017-12-12,2018-01-11,SUBSCRIPTION,VISA,7964,,PAYMENTECH,7.99,GBP,1.33,7.99,SALE,PENDING,SETTLED,GB,2018-01-12
2017-12-12,,,payment_transaction,CC,,,,,GBP,,7.99,SALE,PENDING,,GB,
