Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.178.213.64,Gwynedd,2019-02-22T20:48:15.108Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.178.213.64,Gwynedd,2019-02-20T18:39:09.592Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.178.213.51,Gwynedd,2019-02-18T20:12:00.620Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.178.213.51,Gwynedd,2019-02-13T20:46:32.700Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.245.103,Rotherham,2019-02-10T20:05:22.892Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.245.105,Rotherham,2019-02-08T19:32:07.851Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.252.200,Essex,2019-02-07T18:52:53.852Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.252.200,Essex,2019-02-06T15:54:21.323Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.195.27,Stockport,2019-02-05T19:32:20.209Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.195.27,Stockport,2019-02-03T13:59:27.686Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.40.117,Kent,2019-01-31T20:43:53.650Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.153.40.117,Kent,2019-01-27T14:59:51.166Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.190.40.41,Hertfordshire,2019-01-23T20:09:06.440Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,86.169.229.254,Cardiff,2019-01-18T19:31:51.288Z
SSTV-JZL1-0000000000000006626012,GB,Samsung 2016 Jazz-L UHD TV Smart TV,Samsung 2016 Jazz-L UHD TV Smart TV,109.151.217.72,Ceredigion,2019-01-17T18:46:32.933Z
