Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Jane,tvui,movieDetails,,,2021-12-29 22:16:14
Jane,tvui,playback,,,2021-12-29 22:16:14
Jane,tvui,movieDetails,,,2021-12-29 22:16:05
Jane,tvui,browseTitles,,,2021-12-29 22:16:05
Jane,tvui,browseTitles,,,2021-12-29 22:15:56
Jane,tvui,search,,,2021-12-29 22:15:56
Jane,tvui,movieDetails,,,2021-12-29 22:15:46
Jane,tvui,search,,,2021-12-29 22:15:46
Jane,tvui,playback,,,2021-12-29 22:15:44
Jane,tvui,movieDetails,,,2021-12-29 22:15:44
Jane,tvui,playback,,,2021-12-29 22:03:22
Jane,tvui,movieDetails,,,2021-12-29 22:03:22
Jane,tvui,movieDetails,,,2021-12-29 22:03:19
Jane,tvui,search,,,2021-12-29 22:03:19
Jane,tvui,browseTitles,,,2021-12-29 22:02:57
Jane,tvui,search,,,2021-12-29 22:02:57
Jane,tvui,profilesGate,,,2021-12-29 21:58:51
Jane,tvui,browseTitles,,,2021-12-29 21:58:51
Jane,tvui,profilesGate,,,2021-12-29 21:58:37
Jane,tvui,screenSaver,,,2021-12-29 20:04:45
Jane,tvui,profilesGate,,,2021-12-29 20:04:45
Jane,tvui,browseTitles,,,2021-12-29 19:39:45
Jane,tvui,screenSaver,,,2021-12-29 19:39:45
Jane,tvui,profilesGate,,,2021-12-29 19:34:45
Jane,tvui,browseTitles,,,2021-12-29 19:34:45
Jane,tvui,profilesGate,,,2021-12-29 19:34:44
Jane,tvui,movieDetails,,,2021-12-28 10:59:34
Jane,tvui,browseTitles,,,2021-12-28 10:59:34
Jane,tvui,browseTitles,,,2021-12-28 10:59:22
Jane,tvui,movieDetails,,,2021-12-28 10:59:22
Jane,tvui,movieDetails,,,2021-12-28 10:58:37
Jane,tvui,browseTitles,,,2021-12-28 10:58:37
Jane,tvui,browseTitles,,,2021-12-28 10:58:15
Jane,tvui,movieDetails,,,2021-12-28 10:58:15
Jane,tvui,movieDetails,,,2021-12-28 10:58:13
Jane,tvui,browseTitles,,,2021-12-28 10:58:13
Jane,tvui,browseTitles,,,2021-12-28 10:57:52
Jane,tvui,movieDetails,,,2021-12-28 10:57:52
Jane,tvui,profilesGate,,,2021-12-28 10:57:39
Jane,tvui,browseTitles,,,2021-12-28 10:57:39
Jane,tvui,profilesGate,,,2021-12-27 21:10:58
Jane,tvui,profilesGate,,,2021-12-27 21:10:58
Jane,tvui,screenSaver,,,2021-12-25 09:14:55
Jane,tvui,profilesGate,,,2021-12-25 09:14:55
Jane,tvui,screenSaver,,,2021-12-25 09:07:16
Jane,tvui,profilesGate,,,2021-12-25 09:07:16
Jane,tvui,browseTitles,,,2021-12-25 00:51:03
Jane,tvui,profilesGate,,,2021-12-25 00:51:03
Jane,tvui,browseTitles,,,2021-12-24 22:50:54
Jane,tvui,screenSaver,,,2021-12-24 22:50:54
Jane,tvui,browseTitles,,,2021-12-24 22:50:04
Jane,tvui,screenSaver,,,2021-12-24 22:50:04
Jane,tvui,movieDetails,,,2021-12-24 22:45:04
Jane,tvui,browseTitles,,,2021-12-24 22:45:04
Jane,tvui,playback,,,2021-12-24 22:45:00
Jane,tvui,movieDetails,,,2021-12-24 22:45:00
Jane,tvui,playback,,,2021-12-24 22:09:20
Jane,tvui,movieDetails,,,2021-12-24 22:09:20
Jane,tvui,browseTitles,,,2021-12-24 22:09:18
Jane,tvui,movieDetails,,,2021-12-24 22:09:18
Jane,tvui,browseTitles,,,2021-12-24 22:09:17
Jane,tvui,profilesGate,,,2021-12-24 22:08:48
Jane,tvui,movieDetails,,,2021-12-24 22:08:48
Jane,tvui,movieDetails,,,2021-12-24 22:08:42
Jane,tvui,playback,,,2021-12-24 22:08:42
Jane,tvui,movieDetails,,,2021-12-24 20:02:51
Jane,tvui,playback,,,2021-12-24 20:02:51
Jane,tvui,movieDetails,,,2021-12-24 20:02:49
Jane,tvui,browseTitles,,,2021-12-24 20:02:49
Jane,tvui,search,,,2021-12-24 20:01:18
Jane,tvui,browseTitles,,,2021-12-24 20:01:18
Jane,tvui,profilesGate,,,2021-12-24 20:01:07
Jane,tvui,search,,,2021-12-24 20:01:07
Jane,tvui,profilesGate,,,2021-12-24 20:01:06
Jane,tvui,search,,,2021-12-24 16:40:59
Jane,tvui,profilesGate,,,2021-12-24 16:40:59
Jane,tvui,browseTitles,,,2021-12-24 16:10:49
Jane,tvui,search,,,2021-12-24 16:10:49
Jane,tvui,profilesGate,,,2021-12-24 16:10:45
Jane,tvui,browseTitles,,,2021-12-24 16:10:45
Jane,tvui,profilesGate,,,2021-12-24 13:31:17
Jane,tvui,movieDetails,,,2021-12-24 10:32:18
Jane,tvui,profilesGate,,,2021-12-24 10:32:18
Jane,tvui,screenSaver,,,2021-12-24 10:17:20
