Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Jane,GB,Smart TV,0,lon,-1,view_video_info,title_results,2018-08-25 19:24:17
Jane,GB,Smart TV,0,lon,american psycho,play,video_info,2018-08-25 19:24:17
Jane,GB,Smart TV,0,lon,lone survivor,play,video_info,2018-08-25 19:23:47
Jane,GB,Smart TV,0,lon,lone survivor,view_video_info,title_results,2018-08-25 19:23:47
Jane,GB,Smart TV,0,shu,shutter island,view_suggestion_info,suggestion_results,2018-08-25 19:20:53
Jane,GB,iPad,0,slow west,slow west,view_suggestion_info,suggestion_results,2018-08-15 20:34:52
Jane,GB,Smart TV,0,ma,marvel comics,view_suggestion_info,suggestion_results,2018-07-27 17:57:58
Jane,GB,iPad,0,canada,departures,view_video_info,title_results,2018-07-02 22:53:19
Jane,GB,iPad,0,the sta,the staircase,view_video_info,title_results,2018-07-02 22:45:45
Jane,GB,Smart TV,0,gerv,ricky gervais: humanity,play,video_info,2018-06-02 23:54:17
Jane,GB,Smart TV,0,gerv,ricky gervais: humanity,view_video_info,title_results,2018-06-02 23:54:17
Jane,GB,Smart TV,0,kath,katherine ryan: in trouble,play,video_info,2018-06-02 23:49:49
Jane,GB,Smart TV,0,kath,katherine ryan: in trouble,view_video_info,title_results,2018-06-02 23:49:49
Jane,GB,iPhone,0,jack,jack whitehall: travels with my father,view_video_info,title_results,2018-06-02 23:47:28
Jane,GB,Smart TV,0,ibi,ibiza,play,video_info,2018-06-02 21:52:19
Jane,GB,Smart TV,0,ibi,ibiza,view_video_info,title_results,2018-06-02 21:52:19
Jane,GB,Smart TV,0,grac,grace jones: bloodlight and bami,view_video_info,title_results,2018-06-02 20:58:40
Jane,GB,Smart TV,0,grac,grace jones: bloodlight and bami,play,video_info,2018-06-02 20:58:40
Jane,GB,iPhone,0,ib,ibiza,view_video_info,title_results,2018-06-02 20:54:39
Jane,GB,Xbox,0,leag,the league of gentlemen,play,video_info,2018-05-18 20:51:41
Jane,GB,Xbox,0,leag,the league of gentlemen,view_video_info,title_results,2018-05-18 20:51:28
Jane,GB,Xbox,0,leag,the league of gentlemen,play,video_info,2018-05-18 20:51:28
Jane,GB,Xbox,0,faw,fawlty towers,play,video_info,2018-05-18 20:36:12
Jane,GB,Xbox,0,faw,fawlty towers,play,video_info,2018-05-18 20:35:52
Jane,GB,Xbox,0,faw,fawlty towers,view_video_info,title_results,2018-05-18 20:35:52
Jane,GB,Smart TV,0,blac,blackadder,play,video_info,2018-04-14 21:14:53
Jane,GB,Smart TV,0,blac,blackadder,play,video_info,2018-04-14 19:54:34
Jane,GB,Smart TV,0,blac,blackadder,play,video_info,2018-04-14 19:54:21
Jane,GB,Smart TV,0,blac,blackadder,view_video_info,title_results,2018-04-14 19:54:21
Jane,GB,Xbox One,0,joy,joy,play,video_info,2018-03-30 15:34:33
Jane,GB,Xbox One,0,joy,joy,view_video_info,title_results,2018-03-30 15:34:33
Jane,GB,iPhone,0,inside man,-1,add_to_list,video_info,2018-03-16 08:53:07
Jane,GB,iPhone,0,inside man,inside man,view_video_info,title_results,2018-03-16 08:53:01
